coordinate_um,imported_intensity,reference_intensity,residual,label
-8,0.8574064879781109,0.8789095870013108,0.021503099023199912,
-7.8,0.8449080744658214,0.8798508255255024,0.03494275105968103,
-7.6,0.85219355033235,0.8767086054564753,0.02451505512412533,
-7.4,0.8722206362133491,0.8695631961672559,0.0026574400460932512,
-7.2,0.8866119237005705,0.8585971302338766,0.028014793466693888,
-7,0.8783274217999216,0.84409054056164,0.03423688123828161,
-6.8,0.8434877636653872,0.8264140042686853,0.01707375939670197,
-6.6,0.7942676280092485,0.806019076132953,0.011751448123704433,
-6.4,0.7508768241605793,0.7834267534297477,0.03254992926916833,
-6.2,0.7280987078800975,0.759214166830618,0.03111545895052059,
-6,0.725571997470616,0.7339998373503115,0.008427839879695531,
-5.8,0.7284442192722413,0.7084278759594792,0.02001634331276214,
-5.6,0.7179400634801751,0.6831515294908704,0.034788533989304704,
-5.4,0.6846152065138881,0.6588164931659711,0.025798713347916946,
-5.2,0.6352317177053857,0.6360444160308245,0.0008126983254388431,
-5,0.5885480173200967,0.615417020661822,0.026869003341725373,
-4.8,0.562888577932734,0.597461242810458,0.034572664877724035,
-4.6,0.5639740079506492,0.5826357706012637,0.018661762650614477,
-4.4,0.5813152244736522,0.5713193271449403,0.009995897328711978,
-4.2,0.5956269408172824,0.5638009958924144,0.03182594492486801,
-4,0.5921903882589317,0.5602728358728395,0.031917552386092174,
-3.8,0.5710331234800969,0.5608249754624864,0.010208148017610497,
-3.5999999999999996,0.5469694652601998,0.565443310016324,0.018473844756124125,
-3.4000000000000004,0.5394724266851704,0.5740098621772867,0.0345374354921163,
-3.2,0.5592952700627198,0.5863057956589747,0.02701052559625483,
-3,0.6009826988617524,0.6020170055134006,0.0010343066516482757,
-2.8,0.6463905287044048,0.6207421420779713,0.02564838662643354,
-2.5999999999999996,0.6768150318835383,0.6420028636265025,0.034812168257035814,
-2.4000000000000004,0.6854538512006431,0.6652560558158562,0.020197795384786832,
-2.2,0.6816951964841544,0.6899077057771391,0.008212509292984671,
-2,0.6843147468626657,0.7153280764317937,0.031013329569128056,
-1.7999999999999998,0.193169240304336,0.22579999999999995,0.03263075969566395,
-1.5999999999999996,0.18323997217506657,0.19519999999999993,0.011960027824933356,
-1.4000000000000004,0.18507989900601596,0.16820000000000004,0.016879899006015914,
-1.2000000000000002,0.17899015484393685,0.1448,0.03419015484393684,
-1,0.15314711713366763,0.125,0.028147117133667632,
-0.7999999999999998,0.11167843122267393,0.10879999999999998,0.0028784312226739495,
-0.5999999999999996,0.07184365742444437,0.09619999999999998,0.024356342575555606,
-0.40000000000000036,0.05224527560874775,0.08720000000000001,0.034954724391252266,
-0.20000000000000018,0.06012242004705849,0.08180000000000001,0.02167757995294152,
0,0.08640625051432058,0.08,0.0064062505143205745,
0.1999999999999993,0.11191434622732183,0.08179999999999998,0.030114346227321842,
0.40000000000000036,0.12045309469201171,0.08720000000000001,0.033253094692011695,
0.5999999999999996,0.1098786005500796,0.09619999999999998,0.01367860055007962,
0.8000000000000007,0.09356105501125997,0.10880000000000005,0.01523894498874008,
1,0.09125234082495104,0.125,0.03374765917504896,
1.1999999999999993,0.11559467729566919,0.14479999999999993,0.02920532270433074,
1.4000000000000004,0.16348546025330948,0.16820000000000004,0.00471453974669056,
1.5999999999999996,0.21819646935943113,0.19519999999999993,0.0229964693594312,
1.8000000000000007,0.26079993628055487,0.2258000000000001,0.034999936280554755,
2,0.7384250717842346,0.7153280764317937,0.023096995352440808,
2.1999999999999993,0.6853255545946527,0.6899077057771392,0.004582151182486505,
2.4000000000000004,0.6361245573677129,0.6652560558158562,0.029131498448143334,
2.5999999999999996,0.6082200393713204,0.6420028636265025,0.03378282425518209,
2.8000000000000007,0.6053830618807263,0.6207421420779712,0.015359080197244857,
3,0.6155725580557526,0.6020170055134006,0.013555552542351967,
3.1999999999999993,0.6195169764358417,0.5863057956589748,0.03321118077686691,
3.4000000000000004,0.6041920575241675,0.5740098621772867,0.030182195346880825,
3.5999999999999996,0.5719808289226962,0.565443310016324,0.0065375189063722194,
3.8000000000000007,0.5392524214189094,0.5608249754624864,0.021572554043577052,
4,0.5253251578569772,0.5602728358728395,0.034947678015862293,
4.199999999999999,0.5393489071916856,0.5638009958924144,0.02445208870072879,
4.4,0.5740646183157502,0.5713193271449403,0.002745291170809905,
4.6,0.610703293932822,0.5826357706012637,0.028067523331558264,
4.800000000000001,0.631679715969459,0.5974612428104581,0.03421847315900095,
5,0.6324138075165893,0.615417020661822,0.016996786854767243,
5.199999999999999,0.6242100063405528,0.6360444160308244,0.011834409690271608,
5.4,0.6262342794958006,0.6588164931659711,0.03258221367017056,
5.6,0.6520765148895594,0.6831515294908704,0.031075014601311013,
5.800000000000001,0.7000855840115581,0.7084278759594794,0.008342291947921354,
6,0.7540883993925277,0.7339998373503115,0.020088562042216207,
6.199999999999999,0.7940122619600891,0.7592141668306178,0.034798095129471296,
6.4,0.8091658396733307,0.7834267534297477,0.02573908624358301,
6.6,0.8051182902435435,0.806019076132953,0.00090078588940945,
6.800000000000001,0.7994886203623401,0.8264140042686854,0.026925383906345246,
7,0.809531712382259,0.84409054056164,0.03455882817938105,
7.199999999999999,0.8400099705058226,0.8585971302338765,0.018587159728053915,
7.4,0.8796435057530195,0.8695631961672559,0.01008030958576367,
7.6,0.9085711149009311,0.8767086054564753,0.03186250944445579,
7.800000000000001,0.9117321196105905,0.8798508255255024,0.03188129408508811,
8,0.8890334198204622,0.8789095870013108,0.010123832819151413,
