frame_id,marker_id,corner_index,x_px,y_px,confidence,detector_name,detector_version,board_id,board_hash,image_hash,image_width,image_height
synthetic_capture_blur_noise.png,0,0,51.5860547759,18.4172143795,0.65,opencv-charuco,l78-blur-noise-fixture,l75-board-7x5,747e6cb4591b8b8e,1c5472aa8dd261d7,560,400
synthetic_capture_blur_noise.png,0,1,97.8820301571,21.1482960463,0.65,opencv-charuco,l78-blur-noise-fixture,l75-board-7x5,747e6cb4591b8b8e,1c5472aa8dd261d7,560,400
synthetic_capture_blur_noise.png,0,2,95.666452755,67.932263067,0.65,opencv-charuco,l78-blur-noise-fixture,l75-board-7x5,747e6cb4591b8b8e,1c5472aa8dd261d7,560,400
synthetic_capture_blur_noise.png,0,3,48.4755389831,65.1082840891,0.65,opencv-charuco,l78-blur-noise-fixture,l75-board-7x5,747e6cb4591b8b8e,1c5472aa8dd261d7,560,400
synthetic_capture_blur_noise.png,1,0,123.18539837899999,22.2135176411,0.65,opencv-charuco,l78-blur-noise-fixture,l75-board-7x5,747e6cb4591b8b8e,1c5472aa8dd261d7,560,400
synthetic_capture_blur_noise.png,1,1,169.324916968,26.121647466000002,0.65,opencv-charuco,l78-blur-noise-fixture,l75-board-7x5,747e6cb4591b8b8e,1c5472aa8dd261d7,560,400
synthetic_capture_blur_noise.png,1,2,167.027565063,71.8252082195,0.65,opencv-charuco,l78-blur-noise-fixture,l75-board-7x5,747e6cb4591b8b8e,1c5472aa8dd261d7,560,400
synthetic_capture_blur_noise.png,1,3,119.84400287300001,69.8840835538,0.65,opencv-charuco,l78-blur-noise-fixture,l75-board-7x5,747e6cb4591b8b8e,1c5472aa8dd261d7,560,400
synthetic_capture_blur_noise.png,2,0,195.562565947,27.2049747694,0.65,opencv-charuco,l78-blur-noise-fixture,l75-board-7x5,747e6cb4591b8b8e,1c5472aa8dd261d7,560,400
synthetic_capture_blur_noise.png,2,1,241.642548366,29.9291055224,0.65,opencv-charuco,l78-blur-noise-fixture,l75-board-7x5,747e6cb4591b8b8e,1c5472aa8dd261d7,560,400
