frame_id,marker_id,corner_index,x_px,y_px,confidence,detector_name,detector_version,board_id,board_hash,image_hash,image_width,image_height
frame_001.png,0,0,108,84,0.99,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,0,1,144,84,0.99,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,0,2,144,120,0.99,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,0,3,108,120,0.99,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,1,0,178,84,0.98,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,1,1,214,84,0.98,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,1,2,214,120,0.98,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,1,3,178,120,0.98,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,7,0,108,154,0.97,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,7,1,144,154,0.97,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,7,2,144,190,0.97,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
frame_001.png,7,3,108,190,0.97,opencv-charuco,external-example,l75-board-7x5,example-board-hash,example-image-hash,560,400
